id,counter_id,reading,temperature,date,remark
414,1,17150.5000,0,2013-02-04 08:42:35,
415,2,10578.9902,0,2013-02-04 08:42:35,
416,1,17178.1992,0,2013-02-05 07:56:32,
417,2,10605.7002,0,2013-02-05 07:56:32,
418,1,17206.5000,0,2013-02-06 11:17:17,
419,2,10642.0498,0,2013-02-06 11:17:17,
420,1,17240.9004,0,2013-02-07 08:16:39,
421,2,10678.2002,0,2013-02-07 08:16:39,
422,1,17314.5996,0,2013-02-08 12:06:44,
423,2,10730.4902,0,2013-02-08 12:06:44,
424,26,11980.2998,0,2013-02-08 12:06:44,
425,28,6820.1001,0,2013-02-08 12:06:44,
426,1,17349.6992,0,2013-02-09 08:45:26,
427,2,10774.5195,0,2013-02-09 08:45:26,
428,1,17486.8008,0,2013-02-11 08:01:06,
429,2,10872.4502,0,2013-02-11 08:01:06,
430,26,12028.2998,0,2013-02-11 08:01:06,
431,28,6848.3999,0,2013-02-11 08:01:06,
432,1,17514.0000,0,2013-02-12 07:55:22,
433,2,10923.9199,0,2013-02-12 07:55:22,
434,1,17536.9004,0,2013-02-13 08:15:55,
435,2,10963.7002,0,2013-02-13 08:15:55,
436,1,17568.5000,0,2013-02-14 08:02:52,
437,2,11011.8096,0,2013-02-14 08:02:52,
438,1,17629.6992,0,2013-02-15 08:12:26,
439,2,11065.5898,0,2013-02-15 08:12:26,
440,1,17662.1992,0,2013-02-16 10:40:17,
441,2,11118.5000,0,2013-02-16 10:40:17,
442,26,12135.7002,0,2013-02-16 10:40:17,
443,28,6886.2002,0,2013-02-16 10:40:17,
444,1,17690.9004,0,2013-02-17 09:36:05,
445,2,11155.9902,0,2013-02-17 09:36:05,
446,1,17728.8008,0,2013-02-18 09:27:28,
447,2,11199.2002,0,2013-02-18 09:27:28,
448,26,12152.5000,0,2013-02-18 09:27:28,
449,28,6890.0000,0,2013-02-18 09:27:28,
450,1,17748.0996,0,2013-02-19 07:33:23,
451,2,11228.9404,0,2013-02-19 07:33:23,
452,1,17780.8008,0,2013-02-20 07:46:35,
453,2,11260.2998,0,2013-02-20 07:46:35,
454,26,12158.7998,0,2013-02-20 07:46:35,
455,28,6891.3999,0,2013-02-20 07:46:35,
456,3,851.0000,0,2013-02-20 07:47:15,
457,1,17805.0996,0,2013-02-21 08:45:09,
458,2,11302.9404,0,2013-02-21 08:45:09,
459,1,17841.3008,0,2013-02-22 10:12:00,
460,2,11349.7002,0,2013-02-22 10:12:00,
461,1,17863.5996,0,2013-02-23 10:01:40,
462,2,11401.4199,0,2013-02-23 10:01:40,
463,1,17913.0000,0,2013-02-24 12:30:18,
464,2,11454.7305,0,2013-02-24 12:30:18,
465,26,12220.7998,0,2013-02-24 12:30:18,
466,28,6916.2998,0,2013-02-24 12:30:18,
467,1,17930.5000,0,2013-02-25 08:25:09,
468,2,11486.2002,0,2013-02-25 08:25:09,
469,1,17953.4004,0,2013-02-26 07:57:22,
470,2,11519.8799,0,2013-02-26 07:57:22,
471,1,17953.4004,0,2013-02-26 20:09:20,
472,2,11519.8799,0,2013-02-26 20:09:20,
473,1,17975.5996,0,2013-02-27 08:56:26,
474,2,11555.1104,0,2013-02-27 08:56:26,
475,1,18004.0996,0,2013-02-28 07:49:31,
476,2,11593.2900,0,2013-02-28 07:49:31,
477,1,18036.0996,0,2013-03-01 08:40:42,
478,2,11634.0996,0,2013-03-01 08:40:42,
479,26,12248.7002,0,2013-03-01 08:40:42,
480,1,18062.0996,0,2013-03-02 08:30:11,
481,2,11678.5801,0,2013-03-02 08:30:11,
482,26,12254.2998,0,2013-03-02 08:30:11,
483,28,6920.2002,0,2013-03-02 08:30:11,
484,1,18087.5996,0,2013-03-03 09:00:28,
485,2,11714.4600,0,2013-03-03 09:00:28,
486,26,12311.2002,0,2013-03-03 09:00:28,
487,28,6961.1001,0,2013-03-03 09:00:28,
488,1,18087.5996,0,2013-03-03 09:00:44,
489,2,11714.4600,0,2013-03-03 09:00:44,
490,3,857.0000,0,2013-03-03 09:00:44,
491,26,12311.2002,0,2013-03-03 09:00:44,
492,28,6961.1001,0,2013-03-03 09:00:44,
493,1,18110.0000,0,2013-03-04 08:50:14,
494,2,11744.5703,0,2013-03-04 08:50:14,
495,1,18124.0996,0,2013-03-05 07:54:26,
496,2,11771.0801,0,2013-03-05 07:54:26,
497,1,18141.0000,0,2013-03-06 07:53:47,
498,2,11797.5596,0,2013-03-06 07:53:47,
499,26,12437.0000,0,2013-03-06 07:53:47,
500,28,7054.7998,0,2013-03-06 07:53:47,
501,1,18158.5996,0,2013-03-07 08:11:42,
502,2,11826.1602,0,2013-03-07 08:11:42,
503,1,18198.1992,0,2013-03-08 07:58:30,
504,2,11853.7695,0,2013-03-08 07:58:30,
505,26,12503.5996,0,2013-03-08 07:58:30,
506,28,7099.7002,0,2013-03-08 07:58:30,
507,1,18244.5996,0,2013-03-09 07:51:51,
508,2,11900.9004,0,2013-03-09 07:51:51,
509,26,12527.4004,0,2013-03-09 07:51:51,
510,28,7111.2998,0,2013-03-09 07:51:51,
511,1,18387.8008,0,2013-03-10 08:12:45,
512,2,11941.4102,0,2013-03-10 08:12:45,
513,1,18358.5996,0,2013-03-11 08:08:44,
514,2,11968.6396,0,2013-03-11 08:08:44,
515,1,18381.1992,0,2013-03-12 07:59:21,
516,2,12005.2500,0,2013-03-12 07:59:21,
517,1,18444.8008,0,2013-03-14 11:14:51,
518,2,12105.5303,0,2013-03-14 11:14:51,
519,26,12589.2002,0,2013-03-14 11:14:51,
520,28,7143.8999,0,2013-03-14 11:14:51,
521,1,18530.6992,0,2013-03-17 07:53:09,
522,2,12241.0996,0,2013-03-17 07:53:09,
523,26,12743.2002,0,2013-03-17 07:53:09,
524,28,7244.8999,0,2013-03-17 07:53:09,
525,1,18619.4004,0,2013-03-18 07:49:24,
526,2,12294.4404,0,2013-03-18 07:49:24,
527,1,18661.0000,0,2013-03-20 08:55:23,
528,2,12350.4297,0,2013-03-20 08:55:23,
529,1,18691.0996,0,2013-03-21 10:50:18,
530,2,12386.3203,0,2013-03-21 10:50:18,
531,1,18723.1992,0,2013-03-22 08:18:45,
913,1,41743.1016,0,2015-08-31 19:53:28,
533,4,2264.6001,0,2013-03-22 08:18:45,
534,26,12807.7002,0,2013-03-22 08:18:45,
535,1,18853.5996,0,2013-03-24 08:58:20,
536,2,12528.2998,0,2013-03-24 08:58:20,
537,26,12896.2002,0,2013-03-24 08:58:20,
538,28,7319.1001,0,2013-03-24 08:58:20,
539,1,18868.4004,0,2013-03-25 07:40:15,
540,2,12565.2998,0,2013-03-25 07:40:15,
541,3,872.0000,0,2013-03-25 07:40:15,
542,26,12958.9004,0,2013-03-25 07:40:15,
543,28,7368.0000,0,2013-03-25 07:40:15,
544,1,18881.0000,0,2013-03-26 06:41:31,
545,2,12602.0400,0,2013-03-26 06:41:31,
546,26,13025.2998,0,2013-03-26 06:41:31,
547,28,7419.7002,0,2013-03-26 06:41:31,
548,1,18897.9004,0,2013-03-27 07:25:11,
549,2,12644.3604,0,2013-03-27 07:25:11,
550,26,13089.0996,0,2013-03-27 07:25:11,
551,28,7471.2002,0,2013-03-27 07:25:11,
552,1,18913.5000,0,2013-03-28 07:03:23,
553,2,12684.7998,0,2013-03-28 07:03:23,
554,26,13145.0996,0,2013-03-28 07:03:23,
555,28,7513.8999,0,2013-03-28 07:03:23,
556,1,18975.1992,0,2013-03-30 07:08:27,
557,2,12764.2402,0,2013-03-30 07:08:27,
558,26,13189.2002,0,2013-03-30 07:08:27,
559,28,7532.0000,0,2013-03-30 07:08:27,
560,1,19015.6992,0,2013-03-31 08:37:11,
561,2,12801.2002,0,2013-03-31 08:37:11,
562,26,13216.0996,0,2013-03-31 08:37:11,
563,28,7541.7998,0,2013-03-31 08:37:11,
564,1,19072.0000,0,2013-04-02 07:32:33,
565,2,12879.4004,0,2013-04-02 07:32:33,
566,26,13308.5000,0,2013-04-02 07:32:33,
567,28,7581.6001,0,2013-04-02 07:32:33,
568,1,19087.5000,0,2013-04-03 07:33:41,
569,2,12909.3799,0,2013-04-03 07:33:41,
570,26,13351.0996,0,2013-04-03 07:33:41,
571,28,7611.6001,0,2013-04-03 07:33:41,
572,1,19109.0996,0,2013-04-04 07:52:07,
573,2,12946.9004,0,2013-04-04 07:52:07,
574,26,13366.7002,0,2013-04-04 07:52:07,
575,28,7617.2002,0,2013-04-04 07:52:07,
576,30,1575.2000,0,2013-04-04 07:52:54,
577,1,19169.6992,0,2013-04-06 09:21:33,
578,2,13025.5400,0,2013-04-06 09:21:33,
579,1,19199.0000,0,2013-04-07 07:41:20,
580,2,13061.2197,0,2013-04-07 07:41:20,
581,1,19221.3008,0,2013-04-08 08:06:21,
582,2,13090.5098,0,2013-04-08 08:06:21,
583,26,13482.0996,0,2013-04-08 08:06:21,
584,28,7683.8999,0,2013-04-08 08:06:21,
585,1,19304.5000,0,2013-04-11 08:43:49,
586,2,13165.6504,0,2013-04-11 08:43:49,
587,26,13570.4004,0,2013-04-11 08:43:49,
588,28,7730.2998,0,2013-04-11 08:43:49,
589,1,19660.4004,0,2013-04-20 08:02:39,
590,2,13304.8096,0,2013-04-20 08:02:39,
591,26,13975.5996,0,2013-04-20 08:02:39,
592,28,7942.3999,0,2013-04-20 08:02:39,
593,1,19754.6992,0,2013-04-24 08:17:07,
594,2,13352.9004,0,2013-04-24 08:17:07,
595,26,14162.4004,0,2013-04-24 08:17:07,
596,28,8040.1001,0,2013-04-24 08:17:07,
597,1,19902.1992,0,2013-04-30 08:00:10,
598,2,13414.1299,0,2013-04-30 08:00:10,
599,26,14433.0996,0,2013-04-30 08:00:10,
600,28,8222.9004,0,2013-04-30 08:00:10,
601,1,19920.6992,0,2013-05-01 08:05:13,
602,2,13424.0098,0,2013-05-01 08:05:13,
603,26,14462.2998,0,2013-05-01 08:05:13,
604,28,8241.0000,0,2013-05-01 08:05:13,
605,1,20061.1992,0,2013-05-05 12:15:48,
606,2,13478.2598,0,2013-05-05 12:15:48,
607,26,14717.9004,0,2013-05-05 12:15:48,
608,28,8298.7002,0,2013-05-05 12:15:48,
609,1,20163.3008,0,2013-05-13 08:07:41,
610,2,13528.0000,0,2013-05-13 08:07:41,
611,26,14975.7998,0,2013-05-13 08:07:41,
612,28,8557.9004,0,2013-05-13 08:07:41,
613,1,20190.0996,0,2013-05-15 06:12:14,
614,2,13546.2402,0,2013-05-15 06:12:14,
615,26,15034.0000,0,2013-05-15 06:12:14,
616,28,8593.2998,0,2013-05-15 06:12:14,
617,30,1884.5000,0,2013-05-15 06:12:14,
618,1,20220.5000,0,2013-05-17 08:17:02,
619,2,13559.4404,0,2013-05-17 08:17:02,
620,26,15117.7998,0,2013-05-17 08:17:02,
621,28,8651.5000,0,2013-05-17 08:17:02,
622,30,1898.8000,0,2013-05-17 08:17:02,
623,1,20268.3008,0,2013-05-21 08:19:51,
624,2,13578.6201,0,2013-05-21 08:19:51,
625,26,15271.7998,0,2013-05-21 08:19:51,
626,28,8770.0996,0,2013-05-21 08:19:51,
627,30,1913.1000,0,2013-05-21 08:19:51,
628,1,20292.5996,0,2013-05-23 07:58:23,
629,2,13600.6797,0,2013-05-23 07:58:23,
630,26,15325.2998,0,2013-05-23 07:58:23,
631,28,8799.2998,0,2013-05-23 07:58:23,
632,30,1925.6000,0,2013-05-23 07:58:23,
633,1,20456.0996,0,2013-05-27 08:44:17,
634,2,13674.5000,0,2013-05-27 08:44:17,
635,26,15451.0996,0,2013-05-27 08:44:17,
636,28,8862.2998,0,2013-05-27 08:44:17,
637,30,1956.0000,0,2013-05-27 08:44:17,
638,1,21510.1992,0,2013-07-10 14:01:35,
639,2,13915.5801,0,2013-07-10 14:01:35,
640,26,17637.9004,0,2013-07-10 14:01:35,
641,28,10185.7002,0,2013-07-10 14:01:35,
642,30,2227.7000,0,2013-07-10 14:01:35,
643,1,21910.6992,0,2013-08-02 09:51:15,
644,2,13975.9004,0,2013-08-02 09:51:15,
645,26,18907.8008,0,2013-08-02 09:51:15,
646,28,11066.2002,0,2013-08-02 09:51:15,
647,30,2379.3999,0,2013-08-02 09:51:15,
648,2,8673.0000,0,2012-12-31 09:08:02,Anbieterwechsel
649,26,19897.0000,0,2013-08-23 10:19:16,
650,28,11835.0000,0,2013-08-23 10:19:16,
651,1,22482.8008,0,2013-09-02 17:31:28,
652,2,14059.0801,0,2013-09-02 17:31:28,
653,26,20289.1992,0,2013-09-02 17:31:28,
654,28,12070.7998,0,2013-09-02 17:31:28,
655,1,22950.6992,0,2013-09-17 19:25:23,
656,2,14125.9902,0,2013-09-17 19:25:23,
657,26,20762.4004,0,2013-09-17 19:25:23,
658,28,12350.0000,0,2013-09-17 19:25:23,
659,30,2705.0000,0,2013-09-17 19:25:23,
660,1,23139.3008,0,2013-09-26 23:00:00,
661,2,14176.1201,0,2013-09-26 23:00:00,
662,26,20965.8008,0,2013-09-26 23:00:00,
663,28,12458.7998,0,2013-09-26 23:00:00,
664,30,2763.3000,0,2013-09-26 23:00:00,
665,1,23263.4004,0,2013-09-29 14:57:10,
666,2,14208.3408,0,2013-09-29 14:57:10,
667,26,21120.5000,0,2013-09-29 14:57:10,
668,28,12543.5996,0,2013-09-29 14:57:10,
669,30,2763.3000,0,2013-09-29 14:57:10,
670,2,14270.1104,0,2013-10-04 17:08:43,
671,26,21390.8008,0,2013-10-04 17:08:43,
672,28,12716.5000,0,2013-10-04 17:08:43,
673,1,24059.9004,0,2013-10-30 16:55:01,
